profileID,respID,qID,altID,obsID,Certification,Origin,Processing,image
9,1,1,1,1,Especial,Brasil Central,Lavado,special.jpg
8,1,1,2,1,Rainforestry Alliance,Cerrado Mineiro,Natural,agroforestry.jpg
2,1,1,3,1,Organico,Brasil Central,Natural,organic.jpg
2,1,2,1,2,Organico,Brasil Central,Natural,organic.jpg
13,1,2,2,2,Especial,Cerrado Mineiro,Lavado,special.jpg
15,1,2,3,2,Fair trade,Cerrado Mineiro,Lavado,fairtrade.jpg
3,1,3,1,3,Fair trade,Brasil Central,Natural,fairtrade.jpg
9,1,3,2,3,Especial,Brasil Central,Lavado,special.jpg
5,1,3,3,3,Especial,Cerrado Mineiro,Natural,special.jpg
9,1,4,1,4,Especial,Brasil Central,Lavado,special.jpg
11,1,4,2,4,Fair trade,Brasil Central,Lavado,fairtrade.jpg
7,1,4,3,4,Fair trade,Cerrado Mineiro,Natural,fairtrade.jpg
11,1,5,1,5,Fair trade,Brasil Central,Lavado,fairtrade.jpg
6,1,5,2,5,Organico,Cerrado Mineiro,Natural,organic.jpg
2,1,5,3,5,Organico,Brasil Central,Natural,organic.jpg
7,1,6,1,6,Fair trade,Cerrado Mineiro,Natural,fairtrade.jpg
1,1,6,2,6,Especial,Brasil Central,Natural,special.jpg
5,1,6,3,6,Especial,Cerrado Mineiro,Natural,special.jpg
5,1,7,1,7,Especial,Cerrado Mineiro,Natural,special.jpg
6,1,7,2,7,Organico,Cerrado Mineiro,Natural,organic.jpg
10,1,7,3,7,Organico,Brasil Central,Lavado,organic.jpg
7,1,8,1,8,Fair trade,Cerrado Mineiro,Natural,fairtrade.jpg
12,1,8,2,8,Rainforestry Alliance,Brasil Central,Lavado,agroforestry.jpg
16,1,8,3,8,Rainforestry Alliance,Cerrado Mineiro,Lavado,agroforestry.jpg
14,1,9,1,9,Organico,Cerrado Mineiro,Lavado,organic.jpg
16,1,9,2,9,Rainforestry Alliance,Cerrado Mineiro,Lavado,agroforestry.jpg
5,1,9,3,9,Especial,Cerrado Mineiro,Natural,special.jpg
2,1,10,1,10,Organico,Brasil Central,Natural,organic.jpg
16,1,10,2,10,Rainforestry Alliance,Cerrado Mineiro,Lavado,agroforestry.jpg
14,1,10,3,10,Organico,Cerrado Mineiro,Lavado,organic.jpg
7,1,11,1,11,Fair trade,Cerrado Mineiro,Natural,fairtrade.jpg
14,1,11,2,11,Organico,Cerrado Mineiro,Lavado,organic.jpg
5,1,11,3,11,Especial,Cerrado Mineiro,Natural,special.jpg
10,1,12,1,12,Organico,Brasil Central,Lavado,organic.jpg
13,1,12,2,12,Especial,Cerrado Mineiro,Lavado,special.jpg
