profileID,respID,qID,altID,obsID,Certification,Origin,Processing,image
12,1,1,1,1,Agroforestry system,Cerrado Highlands,Washed,agroforestry.jpg
8,1,1,2,1,Agroforestry system,Cerrado MIneiro,Natural,agroforestry.jpg
1,1,1,3,1,Special,Cerrado Highlands,Natural,special.jpg
4,1,2,1,2,Agroforestry system,Cerrado Highlands,Natural,agroforestry.jpg
16,1,2,2,2,Agroforestry system,Cerrado MIneiro,Washed,agroforestry.jpg
1,1,2,3,2,Special,Cerrado Highlands,Natural,special.jpg
1,1,3,1,3,Special,Cerrado Highlands,Natural,special.jpg
5,1,3,2,3,Special,Cerrado MIneiro,Natural,special.jpg
8,1,3,3,3,Agroforestry system,Cerrado MIneiro,Natural,agroforestry.jpg
3,1,4,1,4,Fair trade,Cerrado Highlands,Natural,fairtrade.jpg
11,1,4,2,4,Fair trade,Cerrado Highlands,Washed,fairtrade.jpg
16,1,4,3,4,Agroforestry system,Cerrado MIneiro,Washed,agroforestry.jpg
9,1,5,1,5,Special,Cerrado Highlands,Washed,special.jpg
1,1,5,2,5,Special,Cerrado Highlands,Natural,special.jpg
7,1,5,3,5,Fair trade,Cerrado MIneiro,Natural,fairtrade.jpg
10,1,6,1,6,Organic,Cerrado Highlands,Washed,organic2.jpg
16,1,6,2,6,Agroforestry system,Cerrado MIneiro,Washed,agroforestry.jpg
1,1,6,3,6,Special,Cerrado Highlands,Natural,special.jpg
15,1,7,1,7,Fair trade,Cerrado MIneiro,Washed,fairtrade.jpg
5,1,7,2,7,Special,Cerrado MIneiro,Natural,special.jpg
7,1,7,3,7,Fair trade,Cerrado MIneiro,Natural,fairtrade.jpg
16,1,8,1,8,Agroforestry system,Cerrado MIneiro,Washed,agroforestry.jpg
2,1,8,2,8,Organic,Cerrado Highlands,Natural,organic2.jpg
7,1,8,3,8,Fair trade,Cerrado MIneiro,Natural,fairtrade.jpg
10,1,9,1,9,Organic,Cerrado Highlands,Washed,organic2.jpg
6,1,9,2,9,Organic,Cerrado MIneiro,Natural,organic2.jpg
7,1,9,3,9,Fair trade,Cerrado MIneiro,Natural,fairtrade.jpg
2,1,10,1,10,Organic,Cerrado Highlands,Natural,organic2.jpg
9,1,10,2,10,Special,Cerrado Highlands,Washed,special.jpg
8,1,10,3,10,Agroforestry system,Cerrado MIneiro,Natural,agroforestry.jpg
1,1,11,1,11,Special,Cerrado Highlands,Natural,special.jpg
4,1,11,2,11,Agroforestry system,Cerrado Highlands,Natural,agroforestry.jpg
8,1,11,3,11,Agroforestry system,Cerrado MIneiro,Natural,agroforestry.jpg
4,1,12,1,12,Agroforestry system,Cerrado Highlands,Natural,agroforestry.jpg
3,1,12,2,12,Fair trade,Cerrado Highlands,Natural,fairtrade.jpg
11,1,12,3,12,Fair trade,Cerrado Highlands,Washed,fairtrade.jpg
1,1,13,1,13,Special,Cerrado Highlands,Natural,special.jpg
6,1,13,2,13,Organic,Cerrado MIneiro,Natural,organic2.jpg
16,1,13,3,13,Agroforestry system,Cerrado MIneiro,Washed,agroforestry.jpg
2,1,14,1,14,Organic,Cerrado Highlands,Natural,organic2.jpg
11,1,14,2,14,Fair trade,Cerrado Highlands,Washed,fairtrade.jpg
6,1,14,3,14,Organic,Cerrado MIneiro,Natural,organic2.jpg
3,1,15,1,15,Fair trade,Cerrado Highlands,Natural,fairtrade.jpg
9,1,15,2,15,Special,Cerrado Highlands,Washed,special.jpg
15,1,15,3,15,Fair trade,Cerrado MIneiro,Washed,fairtrade.jpg
14,1,16,1,16,Organic,Cerrado MIneiro,Washed,organic2.jpg
15,1,16,2,16,Fair trade,Cerrado MIneiro,Washed,fairtrade.jpg
13,1,16,3,16,Special,Cerrado MIneiro,Washed,special.jpg
10,2,1,1,17,Organic,Cerrado Highlands,Washed,organic2.jpg
14,2,1,2,17,Organic,Cerrado MIneiro,Washed,organic2.jpg
11,2,1,3,17,Fair trade,Cerrado Highlands,Washed,fairtrade.jpg
1,2,2,1,18,Special,Cerrado Highlands,Natural,special.jpg
15,2,2,2,18,Fair trade,Cerrado MIneiro,Washed,fairtrade.jpg
9,2,2,3,18,Special,Cerrado Highlands,Washed,special.jpg
13,2,3,1,19,Special,Cerrado MIneiro,Washed,special.jpg
12,2,3,2,19,Agroforestry system,Cerrado Highlands,Washed,agroforestry.jpg
4,2,3,3,19,Agroforestry system,Cerrado Highlands,Natural,agroforestry.jpg
12,2,4,1,20,Agroforestry system,Cerrado Highlands,Washed,agroforestry.jpg
9,2,4,2,20,Special,Cerrado Highlands,Washed,special.jpg
1,2,4,3,20,Special,Cerrado Highlands,Natural,special.jpg
2,2,5,1,21,Organic,Cerrado Highlands,Natural,organic2.jpg
10,2,5,2,21,Organic,Cerrado Highlands,Washed,organic2.jpg
16,2,5,3,21,Agroforestry system,Cerrado MIneiro,Washed,agroforestry.jpg
6,2,6,1,22,Organic,Cerrado MIneiro,Natural,organic2.jpg
16,2,6,2,22,Agroforestry system,Cerrado MIneiro,Washed,agroforestry.jpg
7,2,6,3,22,Fair trade,Cerrado MIneiro,Natural,fairtrade.jpg
12,2,7,1,23,Agroforestry system,Cerrado Highlands,Washed,agroforestry.jpg
13,2,7,2,23,Special,Cerrado MIneiro,Washed,special.jpg
14,2,7,3,23,Organic,Cerrado MIneiro,Washed,organic2.jpg
