profileID,respID,qID,altID,obsID,Certification,Origin,Processing,image
9,1,1,1,1,Special,Brazil Central,Washed,special.jpg
14,1,1,2,1,Organic,Cerrado Mineiro,Washed,organic2.jpg
2,1,1,3,1,Organic,Brazil Central,Natural,organic2.jpg
10,1,2,1,2,Organic,Brazil Central,Washed,organic2.jpg
8,1,2,2,2,Agroforestry system,Cerrado Mineiro,Natural,agroforestry.jpg
11,1,2,3,2,Fair trade,Brazil Central,Washed,fairtrade.jpg
13,1,3,1,3,Special,Cerrado Mineiro,Washed,special.jpg
15,1,3,2,3,Fair trade,Cerrado Mineiro,Washed,fairtrade.jpg
1,1,3,3,3,Special,Brazil Central,Natural,special.jpg
4,1,4,1,4,Agroforestry system,Brazil Central,Natural,agroforestry.jpg
16,1,4,2,4,Agroforestry system,Cerrado Mineiro,Washed,agroforestry.jpg
8,1,4,3,4,Agroforestry system,Cerrado Mineiro,Natural,agroforestry.jpg
16,1,5,1,5,Agroforestry system,Cerrado Mineiro,Washed,agroforestry.jpg
4,1,5,2,5,Agroforestry system,Brazil Central,Natural,agroforestry.jpg
12,1,5,3,5,Agroforestry system,Brazil Central,Washed,agroforestry.jpg
11,1,6,1,6,Fair trade,Brazil Central,Washed,fairtrade.jpg
2,1,6,2,6,Organic,Brazil Central,Natural,organic2.jpg
9,1,6,3,6,Special,Brazil Central,Washed,special.jpg
1,1,7,1,7,Special,Brazil Central,Natural,special.jpg
9,1,7,2,7,Special,Brazil Central,Washed,special.jpg
12,1,7,3,7,Agroforestry system,Brazil Central,Washed,agroforestry.jpg
13,1,8,1,8,Special,Cerrado Mineiro,Washed,special.jpg
9,1,8,2,8,Special,Brazil Central,Washed,special.jpg
15,1,8,3,8,Fair trade,Cerrado Mineiro,Washed,fairtrade.jpg
14,1,9,1,9,Organic,Cerrado Mineiro,Washed,organic2.jpg
10,1,9,2,9,Organic,Brazil Central,Washed,organic2.jpg
16,1,9,3,9,Agroforestry system,Cerrado Mineiro,Washed,agroforestry.jpg
2,1,10,1,10,Organic,Brazil Central,Natural,organic2.jpg
4,1,10,2,10,Agroforestry system,Brazil Central,Natural,agroforestry.jpg
1,1,10,3,10,Special,Brazil Central,Natural,special.jpg
4,1,11,1,11,Agroforestry system,Brazil Central,Natural,agroforestry.jpg
11,1,11,2,11,Fair trade,Brazil Central,Washed,fairtrade.jpg
16,1,11,3,11,Agroforestry system,Cerrado Mineiro,Washed,agroforestry.jpg
12,1,12,1,12,Agroforestry system,Brazil Central,Washed,agroforestry.jpg
13,1,12,2,12,Special,Cerrado Mineiro,Washed,special.jpg
15,1,12,3,12,Fair trade,Cerrado Mineiro,Washed,fairtrade.jpg
16,1,13,1,13,Agroforestry system,Cerrado Mineiro,Washed,agroforestry.jpg
11,1,13,2,13,Fair trade,Brazil Central,Washed,fairtrade.jpg
10,1,13,3,13,Organic,Brazil Central,Washed,organic2.jpg
13,1,14,1,14,Special,Cerrado Mineiro,Washed,special.jpg
14,1,14,2,14,Organic,Cerrado Mineiro,Washed,organic2.jpg
1,1,14,3,14,Special,Brazil Central,Natural,special.jpg
16,1,15,1,15,Agroforestry system,Cerrado Mineiro,Washed,agroforestry.jpg
13,1,15,2,15,Special,Cerrado Mineiro,Washed,special.jpg
9,1,15,3,15,Special,Brazil Central,Washed,special.jpg
2,1,16,1,16,Organic,Brazil Central,Natural,organic2.jpg
8,1,16,2,16,Agroforestry system,Cerrado Mineiro,Natural,agroforestry.jpg
1,1,16,3,16,Special,Brazil Central,Natural,special.jpg
2,2,1,1,17,Organic,Brazil Central,Natural,organic2.jpg
5,2,1,2,17,Special,Cerrado Mineiro,Natural,special.jpg
11,2,1,3,17,Fair trade,Brazil Central,Washed,fairtrade.jpg
3,2,2,1,18,Fair trade,Brazil Central,Natural,fairtrade.jpg
12,2,2,2,18,Agroforestry system,Brazil Central,Washed,agroforestry.jpg
15,2,2,3,18,Fair trade,Cerrado Mineiro,Washed,fairtrade.jpg
16,2,3,1,19,Agroforestry system,Cerrado Mineiro,Washed,agroforestry.jpg
13,2,3,2,19,Special,Cerrado Mineiro,Washed,special.jpg
1,2,3,3,19,Special,Brazil Central,Natural,special.jpg
9,2,4,1,20,Special,Brazil Central,Washed,special.jpg
5,2,4,2,20,Special,Cerrado Mineiro,Natural,special.jpg
13,2,4,3,20,Special,Cerrado Mineiro,Washed,special.jpg
10,2,5,1,21,Organic,Brazil Central,Washed,organic2.jpg
15,2,5,2,21,Fair trade,Cerrado Mineiro,Washed,fairtrade.jpg
11,2,5,3,21,Fair trade,Brazil Central,Washed,fairtrade.jpg
16,2,6,1,22,Agroforestry system,Cerrado Mineiro,Washed,agroforestry.jpg
11,2,6,2,22,Fair trade,Brazil Central,Washed,fairtrade.jpg
2,2,6,3,22,Organic,Brazil Central,Natural,organic2.jpg
8,2,7,1,23,Agroforestry system,Cerrado Mineiro,Natural,agroforestry.jpg
9,2,7,2,23,Special,Brazil Central,Washed,special.jpg
5,2,7,3,23,Special,Cerrado Mineiro,Natural,special.jpg
14,2,8,1,24,Organic,Cerrado Mineiro,Washed,organic2.jpg
1,2,8,2,24,Special,Brazil Central,Natural,special.jpg
11,2,8,3,24,Fair trade,Brazil Central,Washed,fairtrade.jpg
9,2,9,1,25,Special,Brazil Central,Washed,special.jpg
