profileID,respID,qID,altID,obsID,Certification,Origin,Processing,image
11,1,1,1,1,Fair trade,Cerrado de Altitude,Lavado,fairtrade.jpg
8,1,1,2,1,Rainforestry Alliance,Cerrado Mineiro,Natural,agroforestry.jpg
12,1,1,3,1,Rainforestry Alliance,Cerrado de Altitude,Lavado,agroforestry.jpg
11,1,2,1,2,Fair trade,Cerrado de Altitude,Lavado,fairtrade.jpg
13,1,2,2,2,Especial,Cerrado Mineiro,Lavado,special.jpg
2,1,2,3,2,Organico,Cerrado de Altitude,Natural,organic.jpg
1,1,3,1,3,Especial,Cerrado de Altitude,Natural,special.jpg
11,1,3,2,3,Fair trade,Cerrado de Altitude,Lavado,fairtrade.jpg
3,1,3,3,3,Fair trade,Cerrado de Altitude,Natural,fairtrade.jpg
12,1,4,1,4,Rainforestry Alliance,Cerrado de Altitude,Lavado,agroforestry.jpg
13,1,4,2,4,Especial,Cerrado Mineiro,Lavado,special.jpg
8,1,4,3,4,Rainforestry Alliance,Cerrado Mineiro,Natural,agroforestry.jpg
14,1,5,1,5,Organico,Cerrado Mineiro,Lavado,organic.jpg
13,1,5,2,5,Especial,Cerrado Mineiro,Lavado,special.jpg
16,1,5,3,5,Rainforestry Alliance,Cerrado Mineiro,Lavado,agroforestry.jpg
12,1,6,1,6,Rainforestry Alliance,Cerrado de Altitude,Lavado,agroforestry.jpg
10,1,6,2,6,Organico,Cerrado de Altitude,Lavado,organic.jpg
2,1,6,3,6,Organico,Cerrado de Altitude,Natural,organic.jpg
5,1,7,1,7,Especial,Cerrado Mineiro,Natural,special.jpg
2,1,7,2,7,Organico,Cerrado de Altitude,Natural,organic.jpg
12,1,7,3,7,Rainforestry Alliance,Cerrado de Altitude,Lavado,agroforestry.jpg
7,1,8,1,8,Fair trade,Cerrado Mineiro,Natural,fairtrade.jpg
10,1,8,2,8,Organico,Cerrado de Altitude,Lavado,organic.jpg
12,1,8,3,8,Rainforestry Alliance,Cerrado de Altitude,Lavado,agroforestry.jpg
13,1,9,1,9,Especial,Cerrado Mineiro,Lavado,special.jpg
9,1,9,2,9,Especial,Cerrado de Altitude,Lavado,special.jpg
6,1,9,3,9,Organico,Cerrado Mineiro,Natural,organic.jpg
9,1,10,1,10,Especial,Cerrado de Altitude,Lavado,special.jpg
2,1,10,2,10,Organico,Cerrado de Altitude,Natural,organic.jpg
6,1,10,3,10,Organico,Cerrado Mineiro,Natural,organic.jpg
8,1,11,1,11,Rainforestry Alliance,Cerrado Mineiro,Natural,agroforestry.jpg
1,1,11,2,11,Especial,Cerrado de Altitude,Natural,special.jpg
13,1,11,3,11,Especial,Cerrado Mineiro,Lavado,special.jpg
7,1,12,1,12,Fair trade,Cerrado Mineiro,Natural,fairtrade.jpg
11,1,12,2,12,Fair trade,Cerrado de Altitude,Lavado,fairtrade.jpg
13,1,12,3,12,Especial,Cerrado Mineiro,Lavado,special.jpg
3,1,13,1,13,Fair trade,Cerrado de Altitude,Natural,fairtrade.jpg
1,1,13,2,13,Especial,Cerrado de Altitude,Natural,special.jpg
6,1,13,3,13,Organico,Cerrado Mineiro,Natural,organic.jpg
9,1,14,1,14,Especial,Cerrado de Altitude,Lavado,special.jpg
1,1,14,2,14,Especial,Cerrado de Altitude,Natural,special.jpg
13,1,14,3,14,Especial,Cerrado Mineiro,Lavado,special.jpg
8,1,15,1,15,Rainforestry Alliance,Cerrado Mineiro,Natural,agroforestry.jpg
15,1,15,2,15,Fair trade,Cerrado Mineiro,Lavado,fairtrade.jpg
12,1,15,3,15,Rainforestry Alliance,Cerrado de Altitude,Lavado,agroforestry.jpg
9,1,16,1,16,Especial,Cerrado de Altitude,Lavado,special.jpg
11,1,16,2,16,Fair trade,Cerrado de Altitude,Lavado,fairtrade.jpg
1,1,16,3,16,Especial,Cerrado de Altitude,Natural,special.jpg
12,2,1,1,17,Rainforestry Alliance,Cerrado de Altitude,Lavado,agroforestry.jpg
14,2,1,2,17,Organico,Cerrado Mineiro,Lavado,organic.jpg
6,2,1,3,17,Organico,Cerrado Mineiro,Natural,organic.jpg
8,2,2,1,18,Rainforestry Alliance,Cerrado Mineiro,Natural,agroforestry.jpg
11,2,2,2,18,Fair trade,Cerrado de Altitude,Lavado,fairtrade.jpg
7,2,2,3,18,Fair trade,Cerrado Mineiro,Natural,fairtrade.jpg
10,2,3,1,19,Organico,Cerrado de Altitude,Lavado,organic.jpg
8,2,3,2,19,Rainforestry Alliance,Cerrado Mineiro,Natural,agroforestry.jpg
11,2,3,3,19,Fair trade,Cerrado de Altitude,Lavado,fairtrade.jpg
12,2,4,1,20,Rainforestry Alliance,Cerrado de Altitude,Lavado,agroforestry.jpg
16,2,4,2,20,Rainforestry Alliance,Cerrado Mineiro,Lavado,agroforestry.jpg
3,2,4,3,20,Fair trade,Cerrado de Altitude,Natural,fairtrade.jpg
16,2,5,1,21,Rainforestry Alliance,Cerrado Mineiro,Lavado,agroforestry.jpg
15,2,5,2,21,Fair trade,Cerrado Mineiro,Lavado,fairtrade.jpg
12,2,5,3,21,Rainforestry Alliance,Cerrado de Altitude,Lavado,agroforestry.jpg
9,2,6,1,22,Especial,Cerrado de Altitude,Lavado,special.jpg
3,2,6,2,22,Fair trade,Cerrado de Altitude,Natural,fairtrade.jpg
2,2,6,3,22,Organico,Cerrado de Altitude,Natural,organic.jpg
15,2,7,1,23,Fair trade,Cerrado Mineiro,Lavado,fairtrade.jpg
8,2,7,2,23,Rainforestry Alliance,Cerrado Mineiro,Natural,agroforestry.jpg
14,2,7,3,23,Organico,Cerrado Mineiro,Lavado,organic.jpg
3,2,8,1,24,Fair trade,Cerrado de Altitude,Natural,fairtrade.jpg
16,2,8,2,24,Rainforestry Alliance,Cerrado Mineiro,Lavado,agroforestry.jpg
4,2,8,3,24,Rainforestry Alliance,Cerrado de Altitude,Natural,agroforestry.jpg
8,2,9,1,25,Rainforestry Alliance,Cerrado Mineiro,Natural,agroforestry.jpg
15,2,9,2,25,Fair trade,Cerrado Mineiro,Lavado,fairtrade.jpg
2,2,9,3,25,Organico,Cerrado de Altitude,Natural,organic.jpg
10,2,10,1,26,Organico,Cerrado de Altitude,Lavado,organic.jpg
3,2,10,2,26,Fair trade,Cerrado de Altitude,Natural,fairtrade.jpg
13,2,10,3,26,Especial,Cerrado Mineiro,Lavado,special.jpg
5,2,11,1,27,Especial,Cerrado Mineiro,Natural,special.jpg
11,2,11,2,27,Fair trade,Cerrado de Altitude,Lavado,fairtrade.jpg
12,2,11,3,27,Rainforestry Alliance,Cerrado de Altitude,Lavado,agroforestry.jpg
11,2,12,1,28,Fair trade,Cerrado de Altitude,Lavado,fairtrade.jpg
9,2,12,2,28,Especial,Cerrado de Altitude,Lavado,special.jpg
7,2,12,3,28,Fair trade,Cerrado Mineiro,Natural,fairtrade.jpg
2,2,13,1,29,Organico,Cerrado de Altitude,Natural,organic.jpg
11,2,13,2,29,Fair trade,Cerrado de Altitude,Lavado,fairtrade.jpg
13,2,13,3,29,Especial,Cerrado Mineiro,Lavado,special.jpg
7,2,14,1,30,Fair trade,Cerrado Mineiro,Natural,fairtrade.jpg
1,2,14,2,30,Especial,Cerrado de Altitude,Natural,special.jpg
13,2,14,3,30,Especial,Cerrado Mineiro,Lavado,special.jpg
13,2,15,1,31,Especial,Cerrado Mineiro,Lavado,special.jpg
1,2,15,2,31,Especial,Cerrado de Altitude,Natural,special.jpg
15,2,15,3,31,Fair trade,Cerrado Mineiro,Lavado,fairtrade.jpg
4,2,16,1,32,Rainforestry Alliance,Cerrado de Altitude,Natural,agroforestry.jpg
14,2,16,2,32,Organico,Cerrado Mineiro,Lavado,organic.jpg
6,2,16,3,32,Organico,Cerrado Mineiro,Natural,organic.jpg
3,3,1,1,33,Fair trade,Cerrado de Altitude,Natural,fairtrade.jpg
13,3,1,2,33,Especial,Cerrado Mineiro,Lavado,special.jpg
15,3,1,3,33,Fair trade,Cerrado Mineiro,Lavado,fairtrade.jpg
14,3,2,1,34,Organico,Cerrado Mineiro,Lavado,organic.jpg
1,3,2,2,34,Especial,Cerrado de Altitude,Natural,special.jpg
11,3,2,3,34,Fair trade,Cerrado de Altitude,Lavado,fairtrade.jpg
16,3,3,1,35,Rainforestry Alliance,Cerrado Mineiro,Lavado,agroforestry.jpg
9,3,3,2,35,Especial,Cerrado de Altitude,Lavado,special.jpg
1,3,3,3,35,Especial,Cerrado de Altitude,Natural,special.jpg
12,3,4,1,36,Rainforestry Alliance,Cerrado de Altitude,Lavado,agroforestry.jpg
13,3,4,2,36,Especial,Cerrado Mineiro,Lavado,special.jpg
6,3,4,3,36,Organico,Cerrado Mineiro,Natural,organic.jpg
12,3,5,1,37,Rainforestry Alliance,Cerrado de Altitude,Lavado,agroforestry.jpg
3,3,5,2,37,Fair trade,Cerrado de Altitude,Natural,fairtrade.jpg
